,初始指数,到期日期,终止指数,敲入日期,敲入点位,敲出日期,敲出点位,敲入敲出状态,敲出所需时间（月度）,完成周期,绝对收益率,年化收益率,得到高票息,敲出,PE_TTM
2015-01-05,2649.64,2017-01-05,2322.68,2015-01-19,2410.2,2015-04-07,2889.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6318
2015-01-06,2629.4,2017-01-06,2308.94,2015-01-19,2410.2,2015-04-07,2889.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.5751
2015-01-07,2635.23,2017-01-09,2318.34,2015-01-19,2410.2,2015-04-07,2889.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6867
2015-01-08,2558.11,2017-01-09,2318.34,2015-01-19,2410.2,2015-04-08,2952.08,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.3409
2015-01-09,2569.02,2017-01-09,2318.34,2015-01-19,2410.2,2015-04-09,2931.77,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.3874
2015-01-12,2543.85,2017-01-12,2295.4,2015-01-19,2410.2,2015-04-13,3041.13,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.2296
2015-01-13,2527.83,2017-01-13,2308.06,2015-02-02,2332.53,2015-04-13,3041.13,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.2069
2015-01-14,2534.23,2017-01-16,2337.39,2015-01-20,2403.72,2015-04-14,3052.41,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.1859
2015-01-15,2632.89,2017-01-16,2337.39,2015-01-19,2410.2,2015-04-15,3053.3,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.7443
2015-01-16,2653.03,2017-01-16,2337.39,2015-01-19,2410.2,2015-04-16,3183.3,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.9057
2015-01-19,2410.2,2017-01-19,2334.96,2015-08-21,2271.36,2015-04-20,3164.46,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7902
2015-01-20,2403.72,2017-01-20,2347.18,2015-08-21,2271.36,2015-04-20,3164.46,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.8857
2015-01-21,2542.32,2017-01-23,2347.1,2015-01-30,2405.38,2015-04-21,3214.36,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.5483
2015-01-22,2544.31,2017-01-23,2347.1,2015-01-30,2405.38,2015-04-22,3299.22,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.5546
2015-01-23,2564.51,2017-01-23,2347.1,2015-01-30,2405.38,2015-04-23,3273.4,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6678
2015-01-26,2562.36,2017-01-26,2364.02,2015-01-30,2405.38,2015-04-27,3308.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6817
2015-01-27,2522.1,2017-02-03,2339.99,2015-02-02,2332.53,2015-04-27,3308.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.4642
2015-01-28,2486.29,2017-02-03,2339.99,2015-02-02,2332.53,2015-04-28,3282.33,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.2451
2015-01-29,2442.04,2017-02-03,2339.99,2015-08-21,2271.36,2015-04-29,3283.28,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.0261
2015-01-30,2405.38,2017-02-03,2339.99,2015-08-21,2271.36,2015-04-30,3250.49,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.8112
2015-02-02,2332.53,2017-02-03,2339.99,2015-08-24,2058.25,2015-05-04,3272.01,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.4371
2015-02-03,2405.76,2017-02-03,2339.99,2015-08-21,2271.36,2015-05-04,3272.01,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7922
2015-02-04,2372.46,2017-02-06,2343.97,2015-08-24,2058.25,2015-05-04,3272.01,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6261
2015-02-05,2348.92,2017-02-06,2343.97,2015-08-24,2058.25,2015-05-05,3148.81,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.4875
2015-02-06,2325.24,2017-02-06,2343.97,2015-08-24,2058.25,2015-05-06,3139.02,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.3052
2015-02-09,2366.77,2017-02-09,2354.9,2015-08-24,2058.25,2015-05-11,3169.13,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.4636
2015-02-10,2403.55,2017-02-10,2368.18,2015-08-21,2271.36,2015-05-11,3169.13,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6304
2015-02-11,2415.13,2017-02-13,2379.31,2015-08-21,2271.36,2015-05-11,3169.13,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6546
2015-02-12,2416.45,2017-02-13,2379.31,2015-08-21,2271.36,2015-05-12,3188.31,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6908
2015-02-13,2427.47,2017-02-13,2379.31,2015-08-21,2271.36,2015-05-13,3141.3,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.755
2015-02-16,2431.21,2017-02-16,2376.76,2015-08-21,2271.36,2015-05-18,2998.39,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7464
2015-02-17,2445.26,2017-02-17,2362.71,2015-08-21,2271.36,2015-05-18,2998.39,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.8196
2015-02-25,2407.46,2017-02-27,2370.56,2015-08-21,2271.36,2015-05-25,3349.95,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7246
2015-02-26,2478.06,2017-02-27,2370.56,2015-08-21,2271.36,2015-05-26,3386.59,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9818
2015-02-27,2474.6,2017-02-27,2370.56,2015-08-21,2271.36,2015-05-27,3344.74,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9866
2015-03-02,2479.24,2017-03-02,2354.91,2015-08-21,2271.36,2015-06-02,3258.31,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9858
2015-03-03,2396.81,2017-03-03,2347.15,2015-08-21,2271.36,2015-06-03,3238.43,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.5981
2015-03-04,2397.99,2017-03-06,2349.89,2015-08-21,2271.36,2015-06-04,3299.03,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.5995
2015-03-05,2366.9,2017-03-06,2349.89,2015-08-24,2058.25,2015-06-05,3303.99,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.4344
2015-03-06,2371.62,2017-03-06,2349.89,2015-08-24,2058.25,2015-06-08,3458.71,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.47
2015-03-09,2429.87,2017-03-09,2346.55,2015-08-21,2271.36,2015-06-09,3414.0,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7509
2015-03-10,2395.43,2017-03-10,2339.23,2015-08-21,2271.36,2015-06-10,3370.38,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.5795
2015-03-11,2408.5,2017-03-13,2354.89,2015-08-21,2271.36,2015-06-11,3347.12,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6303
2015-03-12,2485.11,2017-03-13,2354.89,2015-08-20,2356.92,2015-06-12,3350.25,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9479
2015-03-13,2495.28,2017-03-13,2354.89,2015-08-20,2356.92,2015-06-15,3262.48,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9676
2015-03-16,2550.86,2017-03-16,2369.19,2015-08-18,2407.97,2015-06-16,3179.65,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.1616
2015-03-17,2583.2,2017-03-17,2346.96,2015-08-18,2407.97,2015-06-17,3211.71,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.2993
2015-03-18,2649.64,2017-03-20,2350.07,2015-07-27,2493.29,2015-06-18,3068.49,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.5667
2015-03-19,2630.24,2017-03-20,2350.07,2015-07-27,2493.29,2015-06-19,2903.06,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.4822
2015-03-20,2680.68,2017-03-20,2350.07,2015-07-27,2493.29,2015-06-23,3003.16,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6264
2015-03-23,2720.67,2017-03-23,2347.43,2015-07-03,2582.27,2015-06-23,3003.16,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.7819
2015-03-24,2683.65,2017-03-24,2365.6,2015-07-27,2493.29,2015-06-24,3045.24,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6768
2015-03-25,2649.16,2017-03-27,2364.43,2015-07-27,2493.29,2015-06-25,2943.99,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.4742
2015-03-26,2687.76,2017-03-27,2364.43,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.12029719915468662,-0.06014859957734331,0,0,11.6987
2015-03-27,2689.24,2017-03-27,2364.43,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.12078133599083751,-0.060390667995418756,0,0,11.6451
2015-03-30,2784.46,2017-03-30,2346.67,2015-07-03,2582.27,2015-06-30,2870.03,不敲入，敲出,3.0,1,0.00125,0.005,1,1,12.0076
2015-03-31,2754.66,2017-03-31,2359.75,2015-07-03,2582.27,2015-06-30,2870.03,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.947
2015-04-01,2799.45,2017-04-05,2384.26,2015-07-03,2582.27,1900-01-01,0.0,敲入，不敲出,,1,-0.14831127542910205,-0.07415563771455103,0,0,12.0996
2015-04-02,2781.64,2017-04-05,2384.26,2015-07-03,2582.27,1900-01-01,0.0,敲入，不敲出,,1,-0.14285817000043133,-0.07142908500021566,0,0,12.0434
2015-04-03,2817.18,2017-04-05,2384.26,2015-07-03,2582.27,1900-01-01,0.0,敲入，不敲出,,1,-0.15367140189835216,-0.07683570094917608,0,0,12.1131
2015-04-07,2889.45,2017-04-07,2388.27,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.17345169495924828,-0.08672584747962414,0,0,12.4696
2015-04-08,2952.08,2017-04-10,2379.16,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.194073331346034,-0.097036665673017,0,0,12.717
2015-04-09,2931.77,2017-04-10,2379.16,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.1884902294518329,-0.09424511472591646,0,0,12.617
2015-04-10,2986.61,2017-04-10,2379.16,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.2033911357693171,-0.10169556788465856,0,0,12.8194
2015-04-13,3041.13,2017-04-13,2368.11,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.22130589616359708,-0.11065294808179854,0,0,13.0865
2015-04-14,3052.41,2017-04-14,2355.52,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.22830812374484422,-0.11415406187242211,0,0,13.0424
2015-04-15,3053.3,2017-04-17,2357.52,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.22787803360298697,-0.11393901680149349,0,0,13.1116
2015-04-16,3183.3,2017-04-17,2357.52,2015-05-18,2998.39,1900-01-01,0.0,敲入，不敲出,,1,-0.25941004617849406,-0.12970502308924703,0,0,13.6379
2015-04-17,3235.33,2017-04-17,2357.52,2015-05-15,3060.41,1900-01-01,0.0,敲入，不敲出,,1,-0.2713200817227299,-0.13566004086136496,0,0,13.9098
2015-04-20,3164.46,2017-04-20,2335.65,2015-05-18,2998.39,1900-01-01,0.0,敲入，不敲出,,1,-0.2619119849832199,-0.13095599249160994,0,0,13.5408
2015-04-21,3214.36,2017-04-21,2347.67,2015-05-18,2998.39,1900-01-01,0.0,敲入，不敲出,,1,-0.2696306574248062,-0.1348153287124031,0,0,13.7006
2015-04-22,3299.22,2017-04-24,2341.93,2015-05-07,3094.88,1900-01-01,0.0,敲入，不敲出,,1,-0.29015646122416816,-0.14507823061208408,0,0,13.9859
2015-04-23,3273.4,2017-04-24,2341.93,2015-05-07,3094.88,1900-01-01,0.0,敲入，不敲出,,1,-0.2845573409910186,-0.1422786704955093,0,0,13.9256
2015-04-24,3223.96,2017-04-24,2341.93,2015-05-15,3060.41,1900-01-01,0.0,敲入，不敲出,,1,-0.27358590056948606,-0.13679295028474303,0,0,13.7608
2015-04-27,3308.45,2017-04-27,2351.64,2015-05-06,3139.02,1900-01-01,0.0,敲入，不敲出,,1,-0.2892018921247109,-0.14460094606235546,0,0,14.3201
2015-04-28,3282.33,2017-04-28,2347.04,2015-05-07,3094.88,1900-01-01,0.0,敲入，不敲出,,1,-0.28494697364372257,-0.14247348682186128,0,0,14.2875
2015-04-29,3283.28,2017-05-02,2336.79,2015-05-07,3094.88,1900-01-01,0.0,敲入，不敲出,,1,-0.2882757486416023,-0.14413787432080116,0,0,14.0939
2015-04-30,3250.49,2017-05-02,2336.79,2015-05-15,3060.41,1900-01-01,0.0,敲入，不敲出,,1,-0.2810960808985722,-0.1405480404492861,0,0,13.8785
2015-05-04,3272.01,2017-05-04,2325.43,2015-05-07,3094.88,1900-01-01,0.0,敲入，不敲出,,1,-0.28929618185763506,-0.14464809092881753,0,0,13.976
2015-05-05,3148.81,2017-05-05,2320.6,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.2630231738339246,-0.1315115869169623,0,0,13.4519
2015-05-06,3139.02,2017-05-08,2326.1,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.2589725455715478,-0.1294862727857739,0,0,13.3364
2015-05-07,3094.88,2017-05-08,2326.1,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.24840381533371247,-0.12420190766685624,0,0,13.0478
2015-05-08,3110.46,2017-05-08,2326.1,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.2521684895481697,-0.12608424477408486,0,0,13.1694
2015-05-11,3169.13,2017-05-11,2339.29,2015-05-18,2998.39,1900-01-01,0.0,敲入，不敲出,,1,-0.2618510442929133,-0.13092552214645664,0,0,13.4129
2015-05-12,3188.31,2017-05-12,2375.45,2015-05-18,2998.39,1900-01-01,0.0,敲入，不敲出,,1,-0.25495011463753525,-0.12747505731876763,0,0,13.4741
2015-05-13,3141.3,2017-05-15,2381.75,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.24179479833190087,-0.12089739916595044,0,0,13.2739
2015-05-14,3128.57,2017-05-15,2381.75,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.2387096980409581,-0.11935484902047905,0,0,13.2412
2015-05-15,3060.41,2017-05-15,2381.75,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.22175460150764115,-0.11087730075382057,0,0,12.9446
2015-05-18,2998.39,2017-05-18,2354.75,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.21466186853611435,-0.10733093426805718,0,0,12.6954
2015-05-19,3116.09,2017-05-19,2361.66,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.24210789803888855,-0.12105394901944427,0,0,13.1307
2015-05-20,3122.85,2017-05-22,2381.55,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.2373793169700753,-0.11868965848503765,0,0,12.9699
2015-05-21,3150.9,2017-05-22,2381.55,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.2441683328572788,-0.1220841664286394,0,0,13.0631
2015-05-22,3248.86,2017-05-22,2381.55,2015-06-18,3068.49,1900-01-01,0.0,敲入，不敲出,,1,-0.2669582561267645,-0.13347912806338225,0,0,13.4691
2015-05-25,3349.95,2017-05-25,2473.5,2015-05-28,3124.62,1900-01-01,0.0,敲入，不敲出,,1,-0.26163077060851647,-0.13081538530425824,0,0,13.8705
2015-05-26,3386.59,2017-05-26,2471.21,2015-05-28,3124.62,1900-01-01,0.0,敲入，不敲出,,1,-0.2702954889726834,-0.1351477444863417,0,0,13.9826
2015-05-27,3344.74,2017-05-31,2479.08,2015-05-28,3124.62,1900-01-01,0.0,敲入，不敲出,,1,-0.25881234415829035,-0.12940617207914518,0,0,13.9659
2015-05-28,3124.62,2017-05-31,2479.08,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.20659792230735252,-0.10329896115367626,0,0,13.107
2015-05-29,3111.33,2017-05-31,2479.08,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.20320891708690492,-0.10160445854345246,0,0,13.009
2015-06-01,3244.32,2017-06-01,2496.45,2015-06-18,3068.49,1900-01-01,0.0,敲入，不敲出,,1,-0.23051671844947486,-0.11525835922473743,0,0,13.5964
2015-06-02,3258.31,2017-06-02,2475.46,2015-06-18,3068.49,1900-01-01,0.0,敲入，不敲出,,1,-0.2402625901157348,-0.1201312950578674,0,0,13.6268
2015-06-03,3238.43,2017-06-05,2450.35,2015-06-18,3068.49,1900-01-01,0.0,敲入，不敲出,,1,-0.24335248870594706,-0.12167624435297353,0,0,13.6245
2015-06-04,3299.03,2017-06-05,2450.35,2015-06-18,3068.49,1900-01-01,0.0,敲入，不敲出,,1,-0.2572513738886886,-0.1286256869443443,0,0,14.1719
2015-06-05,3303.99,2017-06-05,2450.35,2015-06-18,3068.49,1900-01-01,0.0,敲入，不敲出,,1,-0.2583663994140418,-0.1291831997070209,0,0,14.2319
2015-06-08,3458.71,2017-06-08,2507.03,2015-06-15,3262.48,1900-01-01,0.0,敲入，不敲出,,1,-0.27515460966660976,-0.13757730483330488,0,0,14.9488
2015-06-09,3414.0,2017-06-09,2519.27,2015-06-16,3179.65,1900-01-01,0.0,敲入，不敲出,,1,-0.2620767428236672,-0.1310383714118336,0,0,14.7751
2015-06-10,3370.38,2017-06-12,2521.17,2015-06-16,3179.65,1900-01-01,0.0,敲入，不敲出,,1,-0.251962686700016,-0.125981343350008,0,0,14.5486
2015-06-11,3347.12,2017-06-12,2521.17,2015-06-16,3179.65,1900-01-01,0.0,敲入，不敲出,,1,-0.2467643825139224,-0.1233821912569612,0,0,14.452
2015-06-12,3350.25,2017-06-12,2521.17,2015-06-16,3179.65,1900-01-01,0.0,敲入，不敲出,,1,-0.24746809939556746,-0.12373404969778373,0,0,14.4688
2015-06-15,3262.48,2017-06-15,2461.97,2015-06-18,3068.49,1900-01-01,0.0,敲入，不敲出,,1,-0.2453685539834728,-0.1226842769917364,0,0,13.6752
2015-06-16,3179.65,2017-06-16,2452.79,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.22859748714481154,-0.11429874357240577,0,0,13.297
2015-06-17,3211.71,2017-06-19,2484.12,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.22654286968624193,-0.11327143484312097,0,0,13.4831
2015-06-18,3068.49,2017-06-19,2484.12,2015-06-19,2903.06,1900-01-01,0.0,敲入，不敲出,,1,-0.1904422044719064,-0.0952211022359532,0,0,12.8757
2015-06-19,2903.06,2017-06-19,2484.12,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.14430979724842063,-0.07215489862421032,0,0,12.1878
2015-06-23,3003.16,2017-06-23,2529.1,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.1578537274071311,-0.07892686370356555,0,0,12.6304
2015-06-24,3045.24,2017-06-26,2543.32,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.16482116352077325,-0.08241058176038663,0,0,12.869
2015-06-25,2943.99,2017-06-26,2543.32,2015-06-26,2736.7,1900-01-01,0.0,敲入，不敲出,,1,-0.13609760902720447,-0.06804880451360223,0,0,12.451
2015-06-26,2736.7,2017-06-26,2543.32,2015-07-03,2582.27,1900-01-01,0.0,敲入，不敲出,,1,-0.07066174589834462,-0.03533087294917231,0,0,11.6821
2015-06-29,2678.37,2017-06-29,2552.98,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.046815787213865145,-0.023407893606932573,0,0,11.6183
2015-06-30,2870.03,2017-06-30,2549.97,2015-07-02,2714.25,1900-01-01,0.0,敲入，不敲出,,1,-0.11151799806970675,-0.055758999034853374,0,0,12.1039
2015-07-01,2736.85,2017-07-03,2534.37,2015-07-03,2582.27,1900-01-01,0.0,敲入，不敲出,,1,-0.07398286351097061,-0.036991431755485304,0,0,11.5626
2015-07-02,2714.25,2017-07-03,2534.37,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.06627245095330203,-0.033136225476651016,0,0,11.7148
2015-07-03,2582.27,2017-07-03,2534.37,2015-08-18,2407.97,1900-01-01,0.0,敲入，不敲出,,1,-0.018549570726531295,-0.009274785363265647,0,0,11.1987
2015-07-06,2750.0,2017-07-06,2553.88,2015-07-08,2608.98,1900-01-01,0.0,敲入，不敲出,,1,-0.07131636363636362,-0.03565818181818181,0,0,12.0874
2015-07-07,2812.45,2017-07-07,2543.66,2015-07-08,2608.98,1900-01-01,0.0,敲入，不敲出,,1,-0.09557147682625466,-0.04778573841312733,0,0,12.5319
2015-07-08,2608.98,2017-07-10,2550.11,2015-07-30,2467.37,1900-01-01,0.0,敲入，不敲出,,1,-0.02256437381658727,-0.011282186908293634,0,0,11.843
2015-07-09,2781.08,2017-07-10,2550.11,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.08305046960173734,-0.04152523480086867,0,0,12.4768
2015-07-10,2898.41,2017-07-10,2550.11,2015-07-16,2742.85,1900-01-01,0.0,敲入，不敲出,,1,-0.12016933422117637,-0.060084667110588186,0,0,12.7932
2015-07-13,2869.05,2017-07-13,2600.95,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.0934455656053399,-0.04672278280266995,0,0,12.4608
2015-07-14,2763.07,2017-07-14,2622.98,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.05070085086516085,-0.025350425432580426,0,0,12.0867
2015-07-15,2757.95,2017-07-17,2631.41,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.04588190503816236,-0.02294095251908118,0,0,12.3041
2015-07-16,2742.85,2017-07-17,2631.41,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.040629272472063716,-0.020314636236031858,0,0,12.2037
2015-07-17,2807.07,2017-07-17,2631.41,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.06257770557912712,-0.03128885278956356,0,0,12.3312
2015-07-20,2783.76,2017-07-20,2665.45,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.04250007184527416,-0.02125003592263708,0,0,12.3464
2015-07-21,2772.77,2017-07-21,2639.21,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.04816843806013482,-0.02408421903006741,0,0,12.2659
2015-07-22,2739.79,2017-07-24,2654.38,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.031173922088919226,-0.015586961044459613,0,0,12.1438
2015-07-23,2790.76,2017-07-24,2654.38,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.0488684086055412,-0.0244342043027706,0,0,12.2984
2015-07-24,2741.04,2017-07-24,2654.38,2015-07-27,2493.29,1900-01-01,0.0,敲入，不敲出,,1,-0.03161573709249044,-0.01580786854624522,0,0,12.1215
2015-07-27,2493.29,2017-07-27,2636.63,2015-08-20,2356.92,2017-07-27,2636.63,敲入，敲出,24.0,1,0.05500000000000001,0.027500000000000004,1,1,11.057
2015-07-28,2485.67,2017-07-28,2636.39,2015-08-20,2356.92,2017-07-28,2636.39,敲入，敲出,24.0,1,0.05500000000000001,0.027500000000000004,1,1,10.9432
2015-07-29,2531.45,2017-07-31,2638.12,2015-08-20,2356.92,2017-07-31,2638.12,敲入，敲出,24.0,1,0.05500000000000001,0.027500000000000004,1,1,11.0774
2015-07-30,2467.37,2017-07-31,2638.12,2015-08-21,2271.36,2017-06-30,2549.97,敲入，敲出,23.0,1,0.050833333333333335,0.026521739130434784,1,1,10.8541
2015-07-31,2461.24,2017-07-31,2638.12,2015-08-21,2271.36,2017-06-30,2549.97,敲入，敲出,23.0,1,0.050833333333333335,0.026521739130434784,1,1,10.7595
2015-08-03,2479.72,2017-08-03,2646.22,2015-08-21,2271.36,2017-08-03,2646.22,敲入，敲出,24.0,1,0.05500000000000001,0.027500000000000004,1,1,10.767
2015-08-04,2534.71,2017-08-04,2627.8,2015-08-20,2356.92,2017-08-04,2627.8,敲入，敲出,24.0,1,0.05500000000000001,0.027500000000000004,1,1,10.9563
2015-08-05,2487.06,2017-08-07,2634.18,2015-08-20,2356.92,2017-08-07,2634.18,敲入，敲出,24.0,1,0.05500000000000001,0.027500000000000004,1,1,10.7565
2015-08-06,2467.53,2017-08-07,2634.18,2015-08-21,2271.36,2017-07-06,2553.88,敲入，敲出,23.0,1,0.050833333333333335,0.026521739130434784,1,1,10.6584
2015-08-07,2503.8,2017-08-07,2634.18,2015-08-20,2356.92,2017-08-07,2634.18,敲入，敲出,24.0,1,0.05500000000000001,0.027500000000000004,1,1,10.7976
2015-08-10,2617.66,2017-08-10,2611.34,2015-08-18,2407.97,1900-01-01,0.0,敲入，不敲出,,1,-0.002414370086260109,-0.0012071850431300546,0,0,11.244
2015-08-11,2590.71,2017-08-11,2570.26,2015-08-18,2407.97,1900-01-01,0.0,敲入，不敲出,,1,-0.007893589016138347,-0.0039467945080691735,0,0,11.1577
2015-08-12,2561.13,2017-08-14,2591.45,2015-08-18,2407.97,1900-01-01,0.0,敲入，不敲出,,1,0.0,0.0,0,0,11.0397
2015-08-13,2580.78,2017-08-14,2591.45,2015-08-18,2407.97,1900-01-01,0.0,敲入，不敲出,,1,0.0,0.0,0,0,11.0982
2015-08-14,2577.04,2017-08-14,2591.45,2015-08-18,2407.97,1900-01-01,0.0,敲入，不敲出,,1,0.0,0.0,0,0,11.0658
2015-08-17,2550.47,2017-08-17,2604.08,2015-08-18,2407.97,2017-07-17,2631.41,敲入，敲出,23.0,1,0.050833333333333335,0.026521739130434784,1,1,10.9304
2015-08-18,2407.97,2017-08-18,2613.26,2015-08-21,2271.36,2017-06-19,2484.12,敲入，敲出,22.0,1,0.04666666666666666,0.025454545454545452,1,1,10.5126
2015-08-19,2430.28,2017-08-21,2616.82,2015-08-21,2271.36,2017-07-19,2657.89,敲入，敲出,23.0,1,0.050833333333333335,0.026521739130434784,1,1,10.491
2015-08-20,2356.92,2017-08-21,2616.82,2015-08-24,2058.25,2015-11-20,2466.76,敲入，敲出,3.0,1,0.00125,0.005,1,1,10.2001
2015-08-21,2271.36,2017-08-21,2616.82,2015-08-24,2058.25,2015-11-23,2456.84,敲入，敲出,3.0,1,0.00125,0.005,1,1,9.9032
2015-08-24,2058.25,2017-08-24,2646.4,2015-08-25,1914.05,2015-11-24,2447.9,敲入，敲出,3.0,1,0.00125,0.005,1,1,9.0407
2015-08-25,1914.05,2017-08-25,2706.24,1900-01-01,0.0,2015-11-25,2459.56,不敲入，敲出,3.0,1,0.00125,0.005,1,1,8.3579
2015-08-26,1942.45,2017-08-28,2736.46,1900-01-01,0.0,2015-11-26,2450.96,不敲入，敲出,3.0,1,0.00125,0.005,1,1,8.4866
2015-08-27,2094.72,2017-08-28,2736.46,2016-01-26,1951.61,2015-11-27,2334.44,不敲入，敲出,3.0,1,0.00125,0.005,1,1,9.04
2015-08-28,2159.96,2017-08-28,2736.46,2016-01-21,2040.98,2015-11-30,2336.29,不敲入，敲出,3.0,1,0.00125,0.005,1,1,9.3166
2015-08-31,2210.45,2017-08-31,2714.63,2016-01-15,2070.93,2015-11-30,2336.29,不敲入，敲出,3.0,1,0.00125,0.005,1,1,9.4294
