代码,简称,日期,涨跌幅(%),
881001.WI,万得全A,2010-07-19,2.2712,
881001.WI,万得全A,2010-07-20,2.2945,
881001.WI,万得全A,2010-07-21,0.2624,
881001.WI,万得全A,2010-07-22,1.2137,
881001.WI,万得全A,2010-07-23,0.3771,
881001.WI,万得全A,2010-07-26,0.7958,
881001.WI,万得全A,2010-07-27,-0.3908,
881001.WI,万得全A,2010-07-28,2.2552,
881001.WI,万得全A,2010-07-29,0.5148,
881001.WI,万得全A,2010-07-30,-0.2546,
881001.WI,万得全A,2010-08-02,1.6343,
881001.WI,万得全A,2010-08-03,-1.6982,
881001.WI,万得全A,2010-08-04,0.4979,
881001.WI,万得全A,2010-08-05,-0.465,
881001.WI,万得全A,2010-08-06,1.581,
881001.WI,万得全A,2010-08-09,0.6577,
881001.WI,万得全A,2010-08-10,-3.0052,
881001.WI,万得全A,2010-08-11,0.6936,
881001.WI,万得全A,2010-08-12,-1.1985,
881001.WI,万得全A,2010-08-13,1.4179,
881001.WI,万得全A,2010-08-16,2.18,
881001.WI,万得全A,2010-08-17,0.5583,
881001.WI,万得全A,2010-08-18,-0.1334,
881001.WI,万得全A,2010-08-19,0.5663,
881001.WI,万得全A,2010-08-20,-1.7873,
881001.WI,万得全A,2010-08-23,0.12,
881001.WI,万得全A,2010-08-24,0.6295,
881001.WI,万得全A,2010-08-25,-2.082,
881001.WI,万得全A,2010-08-26,0.3689,
881001.WI,万得全A,2010-08-27,0.36,
881001.WI,万得全A,2010-08-30,1.9627,
881001.WI,万得全A,2010-08-31,-0.152,
881001.WI,万得全A,2010-09-01,-0.7534,
881001.WI,万得全A,2010-09-02,1.5125,
881001.WI,万得全A,2010-09-03,0.2264,
881001.WI,万得全A,2010-09-06,1.1046,
881001.WI,万得全A,2010-09-07,0.322,
881001.WI,万得全A,2010-09-08,0.1004,
881001.WI,万得全A,2010-09-09,-1.5118,
881001.WI,万得全A,2010-09-10,0.433,
881001.WI,万得全A,2010-09-13,1.2118,
881001.WI,万得全A,2010-09-14,0.1125,
881001.WI,万得全A,2010-09-15,-1.6076,
881001.WI,万得全A,2010-09-16,-2.0309,
881001.WI,万得全A,2010-09-17,0.0369,
881001.WI,万得全A,2010-09-20,-0.5042,
881001.WI,万得全A,2010-09-21,0.1086,
881001.WI,万得全A,2010-09-27,1.7864,
881001.WI,万得全A,2010-09-28,-0.6468,
881001.WI,万得全A,2010-09-29,-0.4292,
881001.WI,万得全A,2010-09-30,1.6974,
881001.WI,万得全A,2010-10-08,2.9375,
881001.WI,万得全A,2010-10-11,2.054,
881001.WI,万得全A,2010-10-12,0.9879,
881001.WI,万得全A,2010-10-13,0.8602,
881001.WI,万得全A,2010-10-14,-0.4996,
881001.WI,万得全A,2010-10-15,2.5519,
881001.WI,万得全A,2010-10-18,-0.6455,
881001.WI,万得全A,2010-10-19,2.1357,
881001.WI,万得全A,2010-10-20,0.408,
881001.WI,万得全A,2010-10-21,-0.262,
881001.WI,万得全A,2010-10-22,0.189,
881001.WI,万得全A,2010-10-25,2.6143,
881001.WI,万得全A,2010-10-26,-0.2384,
881001.WI,万得全A,2010-10-27,-1.3495,
881001.WI,万得全A,2010-10-28,-0.0958,
881001.WI,万得全A,2010-10-29,-0.1326,
881001.WI,万得全A,2010-11-01,2.6617,
881001.WI,万得全A,2010-11-02,-0.4732,
881001.WI,万得全A,2010-11-03,-0.9175,
881001.WI,万得全A,2010-11-04,1.802,
881001.WI,万得全A,2010-11-05,1.3532,
881001.WI,万得全A,2010-11-08,1.1413,
881001.WI,万得全A,2010-11-09,-0.5238,
881001.WI,万得全A,2010-11-10,-0.3227,
881001.WI,万得全A,2010-11-11,0.8012,
881001.WI,万得全A,2010-11-12,-5.2561,
881001.WI,万得全A,2010-11-15,1.2858,
881001.WI,万得全A,2010-11-16,-4.002,
881001.WI,万得全A,2010-11-17,-2.2883,
881001.WI,万得全A,2010-11-18,1.1935,
881001.WI,万得全A,2010-11-19,1.201,
881001.WI,万得全A,2010-11-22,0.1633,
881001.WI,万得全A,2010-11-23,-1.7298,
881001.WI,万得全A,2010-11-24,1.3629,
881001.WI,万得全A,2010-11-25,1.1561,
881001.WI,万得全A,2010-11-26,-0.7984,
881001.WI,万得全A,2010-11-29,0.0084,
881001.WI,万得全A,2010-11-30,-1.7556,
881001.WI,万得全A,2010-12-01,-0.0118,
881001.WI,万得全A,2010-12-02,0.6789,
881001.WI,万得全A,2010-12-03,-0.1113,
881001.WI,万得全A,2010-12-06,0.1934,
881001.WI,万得全A,2010-12-07,0.8388,
881001.WI,万得全A,2010-12-08,-0.8225,
881001.WI,万得全A,2010-12-09,-1.5298,
881001.WI,万得全A,2010-12-10,1.0999,
881001.WI,万得全A,2010-12-13,2.9789,
881001.WI,万得全A,2010-12-14,0.3652,
881001.WI,万得全A,2010-12-15,-0.5413,
881001.WI,万得全A,2010-12-16,-0.3258,
881001.WI,万得全A,2010-12-17,-0.1653,
881001.WI,万得全A,2010-12-20,-1.4218,
881001.WI,万得全A,2010-12-21,1.7123,
881001.WI,万得全A,2010-12-22,-0.8792,
881001.WI,万得全A,2010-12-23,-1.0227,
881001.WI,万得全A,2010-12-24,-0.9151,
881001.WI,万得全A,2010-12-27,-2.041,
881001.WI,万得全A,2010-12-28,-1.7708,
881001.WI,万得全A,2010-12-29,0.8381,
881001.WI,万得全A,2010-12-30,0.341,
881001.WI,万得全A,2010-12-31,1.7872,
881001.WI,万得全A,2011-01-04,1.58,
881001.WI,万得全A,2011-01-05,-0.4279,
881001.WI,万得全A,2011-01-06,-0.5184,
881001.WI,万得全A,2011-01-07,0.2653,
881001.WI,万得全A,2011-01-10,-1.9031,
881001.WI,万得全A,2011-01-11,0.2973,
881001.WI,万得全A,2011-01-12,0.5774,
881001.WI,万得全A,2011-01-13,0.2279,
881001.WI,万得全A,2011-01-14,-1.3796,
881001.WI,万得全A,2011-01-17,-3.2657,
881001.WI,万得全A,2011-01-18,0.1533,
881001.WI,万得全A,2011-01-19,1.9035,
881001.WI,万得全A,2011-01-20,-3.0553,
881001.WI,万得全A,2011-01-21,1.2084,
